Waves,Don't know,I would/will not vote,Leave the EU,Stay/remain in the EU
1,0.153562284,0.021132932,0.452860533,0.372444251
2,0.160494863,0.030630204,0.427638875,0.381236057
3,0.14479112,0.026122985,0.446716736,0.382369159
4,0.140247019,0.037297054,0.424307564,0.398148362
6,0.157961334,0.020412757,0.387820277,0.433805632
7,0.063133973,0.007598868,0.500421075,0.428846083
8,0.054032428,0.005172832,0.507353386,0.433441354
9,0.007113365,0,0.516971502,0.475915132
10,0.038153995,0.009044271,0.474796298,0.478005436
11,0.040818247,0.017990643,0.482462016,0.458729094
12,0.044588715,0.00792244,0.486864735,0.46062411
13,0.033827466,0.005942303,0.482471831,0.4777584