,Waves,"('No, I do not regard myself as belonging to any particular religion.', ""Don't know"")","('No, I do not regard myself as belonging to any particular religion.', 'I would/will not vote')","('No, I do not regard myself as belonging to any particular religion.', 'Leave the EU')","('No, I do not regard myself as belonging to any particular religion.', 'Stay/remain in the EU')","('Yes - Baptist', ""Don't know"")","('Yes - Baptist', 'I would/will not vote')","('Yes - Baptist', 'Leave the EU')","('Yes - Baptist', 'Stay/remain in the EU')","('Yes - Brethren', 'Leave the EU')","('Yes - Brethren', 'Stay/remain in the EU')","('Yes - Buddhism', ""Don't know"")","('Yes - Buddhism', 'Leave the EU')","('Yes - Buddhism', 'Stay/remain in the EU')","('Yes - Church of England/Anglican/Episcopal', ""Don't know"")","('Yes - Church of England/Anglican/Episcopal', 'I would/will not vote')","('Yes - Church of England/Anglican/Episcopal', 'Leave the EU')","('Yes - Church of England/Anglican/Episcopal', 'Stay/remain in the EU')","('Yes - Free Presbyterian', 'Leave the EU')","('Yes - Free Presbyterian', 'Stay/remain in the EU')","('Yes - Hinduism', ""Don't know"")","('Yes - Hinduism', 'Leave the EU')","('Yes - Hinduism', 'Stay/remain in the EU')","('Yes - Islam', ""Don't know"")","('Yes - Islam', 'Leave the EU')","('Yes - Islam', 'Stay/remain in the EU')","('Yes - Judaism', ""Don't know"")","('Yes - Judaism', 'Leave the EU')","('Yes - Judaism', 'Stay/remain in the EU')","('Yes - Methodist', ""Don't know"")","('Yes - Methodist', 'I would/will not vote')","('Yes - Methodist', 'Leave the EU')","('Yes - Methodist', 'Stay/remain in the EU')","('Yes - Other', ""Don't know"")","('Yes - Other', 'I would/will not vote')","('Yes - Other', 'Leave the EU')","('Yes - Other', 'Stay/remain in the EU')","('Yes - Presbyterian/Church of Scotland', ""Don't know"")","('Yes - Presbyterian/Church of Scotland', 'I would/will not vote')","('Yes - Presbyterian/Church of Scotland', 'Leave the EU')","('Yes - Presbyterian/Church of Scotland', 'Stay/remain in the EU')","('Yes - Roman Catholic', ""Don't know"")","('Yes - Roman Catholic', 'I would/will not vote')","('Yes - Roman Catholic', 'Leave the EU')","('Yes - Roman Catholic', 'Stay/remain in the EU')","('Yes - Sikhism', 'Leave the EU')","('Yes - Sikhism', 'Stay/remain in the EU')","('Yes - United Reformed Church', ""Don't know"")","('Yes - United Reformed Church', 'Leave the EU')","('Yes - United Reformed Church', 'Stay/remain in the EU')","('Yes - Brethren', ""Don't know"")","('Yes - Islam', 'I would/will not vote')","('Yes - Buddhism', 'I would/will not vote')","('Yes - Free Presbyterian', ""Don't know"")","('Yes - Hinduism', 'I would/will not vote')","('Yes - Judaism', 'I would/will not vote')","('Yes - Sikhism', ""Don't know"")","('Yes - Free Presbyterian', 'I would/will not vote')"
0,2014-03-09,0.14173034973954207,0.018732539390576015,0.41813396353972,0.42140314733016515,0.18910857436100004,0.022983223684383547,0.5299858347954067,0.2579223671592094,0.203395669497978,0.7966043305020221,0.0913604468754181,0.2804692039659157,0.6281703491586662,0.15447578013755114,0.027322781029774236,0.5369267739470891,0.28127466488558356,0.7207050095912465,0.27929499040875355,0.554715491939184,0.012936449230441693,0.43234805883037414,0.43047980396851565,0.24594748067695807,0.3235727153545263,0.17473566673543578,0.4850583897214704,0.3402059435430937,0.2897928346646604,0.02215930618271985,0.3320891121772554,0.35595874697536456,0.20418252890157879,0.039741938712270886,0.37322950087672896,0.38284603150942137,0.13550396146971638,0.03347591147114254,0.3360990035044321,0.49492112355470946,0.09666332918860132,0.010177341594816139,0.5128333035524276,0.38032602566415513,0.23080070136497835,0.7691992986350217,0.025278955653624625,0.6282912275910623,0.3464298167553131,0.28681496578055415,0.021994372080690196,0.05467501524295728,0.08176278528476226,0.09557373160481357,0.028787339003652983,0.2155345887708877,0.0541047657473997
1,2014-06-25,0.16363697984552714,0.026116949922339712,0.37994264419760226,0.4303034260345338,0.17122778117464532,0.0,0.464858919282341,0.3639132995430135,0.4099251157397848,0.30325991847966105,0.20245569554062032,0.15139415621868973,0.6461501482406901,0.16189930934089714,0.03346696218788864,0.5208943655002175,0.2837393629709949,0.6734801173944982,0.32651988260550174,0.5124031814605936,0.012936449230441693,0.47466036930896466,0.37557555731436526,0.20241374454267966,0.40001632606226495,0.146120648455495,0.4936383182846015,0.3602410332599034,0.12741439327451065,0.19035475012509667,0.31005202060879594,0.372178835991597,0.11877185807366222,0.02516100048763688,0.42159482785128305,0.4344723135874177,0.17317875655831555,0.021067394544801898,0.3768716811393872,0.428882167757496,0.1107802740600546,0.008623585117794796,0.49158552599174954,0.38901061483040145,0.23080070136497835,0.7691992986350217,0.11032379445551566,0.5637206924920684,0.32595551305241605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2014-10-17,0.14704689342623328,0.022545580374942403,0.4125142914203555,0.41789323477847207,0.1658765817588765,0.0,0.5039659652499261,0.3301574529911972,0.696740081520339,0.30325991847966105,0.0,0.29917483651635274,0.6461501482406901,0.15309951110614198,0.03185909642637402,0.5310112659647707,0.28403012650271137,0.6734801173944982,0.2447570973207395,0.5826412605267944,0.012936449230441693,0.3088485586379501,0.11623893561949912,0.22826014045486806,0.5440095666220924,0.1619638535288447,0.44335978050426056,0.36588902696324166,0.10943088876905069,0.029019107999118735,0.3234767003051006,0.5380733029267302,0.1997640098992737,0.0027571417498892786,0.3787948492150619,0.4186839991357751,0.07788450413206587,0.03642706483012987,0.2871476340058685,0.5985407970319362,0.10371046281054282,0.018428429860937522,0.5122979233695276,0.3655631839589924,0.23080070136497835,0.7691992986350217,0.02332247821707552,0.6282912275910623,0.3483862941918622,0.0,0.11149135730354029,0.0,0.0,0.0,0.0,0.0,0.0
3,2015-03-30,0.14634311044618345,0.035877094280006024,0.3847083875105497,0.43307140776326414,0.11690647569238939,0.0,0.5241354739561113,0.358958050351499,0.203395669497978,0.5097893647214679,0.019463853134363617,0.1700997887691268,0.7557613428535522,0.14210056186501777,0.03615032916644634,0.5197701176098994,0.30197899135863443,0.6734801173944982,0.29198198951748766,0.2562325937756603,0.04086221781805212,0.7029051884062875,0.13477379237861675,0.28037279043079766,0.5848534171905856,0.10950440895165228,0.4597883307363207,0.4237967482709479,0.12808835027538487,0.18640500314575612,0.301113217902616,0.38439342867624327,0.1938378820558192,0.033649897318667896,0.37795569470854784,0.3945565259169651,0.09655205730069213,0.001510535375988507,0.2987667967291609,0.6031706105941591,0.10935266296586747,0.024046126089243447,0.46083845260207906,0.40576275834281034,0.0,1.0,0.0,0.38601922569291813,0.6139807743070819,0.28681496578055415,0.0,0.05467501524295728,0.03453789308801405,0.0,0.006910512041079076,0.0,0.0
4,2015-05-26,0.1718372822283067,0.022851088718298714,0.3558970583535937,0.4494145706998037,0.19724873794252315,0.0,0.39395341661759775,0.40879784543987907,0.203395669497978,0.7966043305020221,0.07338064779339437,0.15139415621868973,0.7752251959879158,0.14955866762034958,0.025435008743697047,0.4573860781424441,0.3676202454935072,0.6734801173944982,0.32651988260550174,0.18599451470945935,0.04086221781805212,0.7731432674724884,0.3746545038353069,0.1847999412626203,0.44054555490207276,0.11406190460779217,0.44358349910223477,0.442354596289973,0.09158533008062893,0.0,0.48500908052982106,0.42340558938955036,0.1461243441806292,0.03215827159584798,0.349771458287062,0.4719459259364608,0.09478218506389519,0.013089717768955041,0.2550688029929988,0.6370592941741517,0.1322683623622732,0.004739683574936088,0.40791313587488676,0.4550788181879042,0.23080070136497835,0.7691992986350217,0.15853809774773744,0.3378049224006963,0.5036569798515663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2016-05-4,0.04775864540153447,0.007682769158800351,0.4791101234472229,0.46544846199244516,0.02945466058109186,0.0,0.552773958248646,0.4177713811702619,0.203395669497978,0.7966043305020221,0.0,0.17886487218435165,0.766460112572691,0.07062319032347836,0.00869717648147191,0.5751365504599967,0.34554308273505147,0.6193753516470986,0.34608675526488736,0.2325130553013958,0.04086221781805212,0.7266247268805519,0.18772714056887185,0.31525473702719115,0.49701812240393706,0.0,0.5501717720441854,0.44213613791497,0.05511694626579206,0.0,0.3732087986649251,0.5716742550692832,0.10267200336025079,0.017479812508869364,0.41977310229936166,0.4600750818315181,0.03709568814149194,0.0,0.3653449792355107,0.5975593326229979,0.1106716757693024,0.0029114144983378837,0.5362049147001781,0.35021199503218226,0.6213590749680681,0.16310633626104426,0.0,0.6850110411614411,0.31498895883855915,0.0,0.0,0.05467501524295728,0.03453789308801405,0.0,0.007692090040844533,0.0,0.0
6,2016-06-22,0.04668513255486368,0.0003552262748944002,0.47392486164531245,0.4790347795249324,0.027690806675180916,0.0,0.5775210358389405,0.3947881574858784,0.4902106352785321,0.5097893647214679,0.0,0.22477480401208413,0.7752251959879158,0.057726646027031765,0.012955335259406646,0.5879874363979342,0.34133058231562574,0.6734801173944982,0.32651988260550174,0.0,0.1364359494228657,0.6775695358676748,0.16983963647201603,0.25958867985685957,0.5705716836711245,0.007692090040844533,0.5413862415864634,0.450921668372692,0.04327853655344264,0.0,0.3949468419917621,0.5617746214547957,0.06332243327508792,0.0,0.43313309272990114,0.5035444739950108,0.002452202243795304,0.005123122994722048,0.3681801836773077,0.6242444910841755,0.10155598693285242,0.0011738173518798666,0.5797566751848154,0.3175135205304525,0.8368936637389557,0.16310633626104426,0.03030413550526527,0.6850110411614411,0.28468482333329387,0.0,0.0,0.0,0.0,0.18599451470945935,0.0,0.0,0.0
7,2016-07-04,0.0030161572905852306,0.0,0.4754089033859748,0.521574939323443,0.0,0.0,0.5650640120393512,0.43493598796064853,0.4902106352785321,0.5097893647214679,0.0,0.233539887427309,0.766460112572691,0.009375779543309008,0.0,0.6139786328745612,0.37664558758212835,0.6734801173944982,0.32651988260550174,0.0,0.04086221781805212,0.9591377821819477,0.0,0.13020981845646343,0.8697901815435366,0.0,0.5572313025818606,0.44276869741813935,0.02480374526295007,0.0,0.4400621159386895,0.5351341387983607,0.012166840904865903,0.0,0.446609025447428,0.5412241336477059,0.0,0.0,0.3717037326484511,0.6282962673515494,0.020810099509763126,0.0,0.5992201615904538,0.3799697388997833,0.6213590749680681,0.378640925031932,0.0,0.613198052798912,0.386801947201088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2016-12-12,0.035001415307646964,0.007554637311732947,0.43198090173935355,0.5254630456412696,0.06390718100788145,0.030905659813668527,0.4943207627282595,0.41086639645019035,0.4902106352785321,0.5097893647214679,0.019463853134363617,0.19686087717273829,0.7836752696928981,0.04672514593395909,0.00958795163623653,0.5730173025187663,0.3706695999110364,0.6193753516470986,0.29198198951748766,0.18599451470945935,0.04086221781805212,0.7731432674724884,0.0,0.14809732255331925,0.8519026774466809,0.033115435261123836,0.46992535237363264,0.4685772227162157,0.025054933947349693,0.0,0.41036636107040503,0.5645787049822455,0.02290197385119339,0.01573701666210549,0.4181305975025192,0.5432304119841815,0.024259687118822346,0.0026773851718324823,0.3536666964699499,0.6193962312393958,0.037445801993593555,0.015723422595357233,0.5381051407787045,0.4087256346323451,0.3905583736030897,0.6094416263969104,0.0,0.613198052798912,0.386801947201088,0.0,0.0,0.0,0.03453789308801405,0.0,0.0283819896490277,0.0,0.0
9,2017-05-03,0.029524950248180703,0.015294190395197357,0.4450869408548242,0.5100939185018006,0.10069966376404474,0.01830891998209939,0.5037056408411229,0.37728577541273267,0.4902106352785321,0.5097893647214679,0.06140139949611408,0.17886487218435165,0.7597337283195343,0.04257146359312668,0.023882550045890502,0.5794282468332598,0.3541177395277212,0.6734801173944982,0.29198198951748766,0.18599451470945935,0.04086221781805212,0.7731432674724884,0.0,0.17009169463400944,0.8299083053659907,0.0,0.5947798855232054,0.36992761278668773,0.0669580414090611,0.019869878239024887,0.34204512044326796,0.5711269599086463,0.06174366858237908,0.0,0.42192971844008026,0.5163266129775403,0.07132507550227819,0.015837965574892327,0.37180659972659275,0.5410303591962372,0.0642239924913448,0.024285376492302554,0.531907389775641,0.37958324124071213,0.3905583736030897,0.6094416263969104,0.07181298836252893,0.6614123560911338,0.26677465554633734,0.0,0.0,0.0,0.03453789308801405,0.0,0.035292501690106774,0.0,0.0
10,2017-06-07,0.04378506381426786,0.002368010776906845,0.4423557112382238,0.5114912141706046,0.06823398645753205,0.01830891998209939,0.5641799998206704,0.34927709373969784,0.5662153193645643,0.43378468063543574,0.006726384253156799,0.233539887427309,0.7597337283195343,0.04311295384300344,0.015240267608503789,0.5904992371500937,0.3511475413983974,0.6734801173944982,0.29198198951748766,0.18599451470945935,0.04086221781805212,0.7731432674724884,0.11149135730354029,0.14809732255331925,0.7184169480624504,0.007692090040844533,0.5572005060008003,0.43510740395835507,0.013499578429989183,0.032910135718480525,0.39393154305367517,0.5596587427978553,0.02920067996056596,0.005616180345505341,0.44709071892771723,0.5180924207662112,0.02297532812134039,0.0026773851718324823,0.3800073689776299,0.5943399177291978,0.06402526080564927,0.005906025244167539,0.5265389937814562,0.4035297201687274,0.0,1.0,0.09065109392036051,0.6614123560911338,0.24793654998850576,0.0,0.021994372080690196,0.0,0.03453789308801405,0.0,0.0,0.0,0.0
11,2017-06-23,0.021686171113604394,0.002345406899956085,0.4481787559123003,0.5277896660741425,0.022983223684383547,0.01830891998209939,0.588956801762995,0.36975105457052165,0.5662153193645643,0.43378468063543574,0.0,0.233539887427309,0.766460112572691,0.0453545662122065,0.007729378984352489,0.5804855668826305,0.36643048792080896,0.6734801173944982,0.29198198951748766,0.18599451470945935,0.04086221781805212,0.7731432674724884,0.021994372080690196,0.14809732255331925,0.8299083053659907,0.053676460895229615,0.5181531622349861,0.4281703768697842,0.021671660807197773,0.027309425958218277,0.3681440744483103,0.582874838786274,0.03667841540696736,0.01012083631660015,0.41180888212348027,0.5413918661529521,0.014955923187991532,0.0026773851718324823,0.3695902697518519,0.6127764218883245,0.06920004969745695,0.01272201095504881,0.4970664526023462,0.42101148674514827,0.3905583736030897,0.6094416263969104,0.0,0.6614123560911338,0.33858764390886625,0.0,0.0,0.0,0.03453789308801405,0.0,0.0,0.0,0.0
