,Waves,"('Full time university student', ""Don't know"")","('Full time university student', 'I would/will not vote')","('Full time university student', 'Leave the EU')","('Full time university student', 'Stay/remain in the EU')","('Not in paid work for any other reason', ""Don't know"")","('Not in paid work for any other reason', 'I would/will not vote')","('Not in paid work for any other reason', 'Leave the EU')","('Not in paid work for any other reason', 'Stay/remain in the EU')","('Other', ""Don't know"")","('Other', 'I would/will not vote')","('Other', 'Leave the EU')","('Other', 'Stay/remain in the EU')","('Other full time student', ""Don't know"")","('Other full time student', 'I would/will not vote')","('Other full time student', 'Leave the EU')","('Other full time student', 'Stay/remain in the EU')","('Retired', ""Don't know"")","('Retired', 'I would/will not vote')","('Retired', 'Leave the EU')","('Retired', 'Stay/remain in the EU')","('Unemployed and looking for work', ""Don't know"")","('Unemployed and looking for work', 'I would/will not vote')","('Unemployed and looking for work', 'Leave the EU')","('Unemployed and looking for work', 'Stay/remain in the EU')","('Working full time (30 or more hours per week)', ""Don't know"")","('Working full time (30 or more hours per week)', 'I would/will not vote')","('Working full time (30 or more hours per week)', 'Leave the EU')","('Working full time (30 or more hours per week)', 'Stay/remain in the EU')","('Working part time (8-29 hours a week)', ""Don't know"")","('Working part time (8-29 hours a week)', 'I would/will not vote')","('Working part time (8-29 hours a week)', 'Leave the EU')","('Working part time (8-29 hours a week)', 'Stay/remain in the EU')","('Working part time (less than 8 hours a week)', ""Don't know"")","('Working part time (less than 8 hours a week)', 'Leave the EU')","('Working part time (less than 8 hours a week)', 'Stay/remain in the EU')","('Working part time (less than 8 hours a week)', 'I would/will not vote')"
0,2014-03-09,0.21055426887200718,0.008671781751281157,0.21461918259645218,0.5661547667802593,0.17143951804732602,0.002267833881080602,0.49980854520512863,0.3264841028664645,0.13518507990440148,0.026021877173079404,0.4836874758231149,0.35510556709940455,0.10688099652723837,0.05000776992426302,0.1883235188041214,0.6547877147443772,0.11015717033598901,0.020547889588701677,0.5404627590026567,0.328832181072653,0.203981679509347,0.048534298064446264,0.4284792493221775,0.3190047731040288,0.15420637388669528,0.02811971905098681,0.41301274877039873,0.4046611582919198,0.1976021656098678,0.016665418631779737,0.4079514848939452,0.37778093086440684,0.26256283422307575,0.3948305455643622,0.34260662021256205,0.0013380068771262493
1,2014-06-25,0.2580780795808943,0.05825625539775119,0.1537262050642534,0.5299394599571008,0.17743183942899562,0.029354508383057348,0.46770094993866523,0.3255127022492816,0.08668557426336909,0.009751563843273395,0.6510065484994136,0.25255631339394397,0.5279100598162633,0.0,0.19921738040822057,0.2728725597755163,0.11500161672468585,0.026978675949444027,0.5151240851245921,0.34289562220127845,0.24331327273265135,0.0,0.5067983096165917,0.24988841765075653,0.15374934609819055,0.040991102686755536,0.3838680849942863,0.42139146622076784,0.21601952937115926,0.014632191208694417,0.34465895962334475,0.42468931979680125,0.22910790284118318,0.4086212628632114,0.3622708342956053,0.0
2,2014-10-17,0.16996844058366042,0.0,0.1814889423590226,0.6485426170573168,0.18845205916857571,0.04105496282778004,0.46864805635320533,0.30184492165043864,0.15913531619885987,0.0,0.5468683642809281,0.2939963195202122,0.5977411440765027,0.07613026497421264,0.2592589396087769,0.06686965134050789,0.10060849653038124,0.017380388700861605,0.5411605578169667,0.3408505569517907,0.16661818530117367,0.024865905568739865,0.4432698098784411,0.3652460992516451,0.1476553402431838,0.029767880341452436,0.4043075602594077,0.41826921915595666,0.17056381258986547,0.03238134148704607,0.41031247471212096,0.3867423712109674,0.09573737627770297,0.3861109151837425,0.5168137016614284,0.0
3,2015-03-30,0.22619327002580492,0.0,0.13290189719749249,0.6409048327767024,0.15179242358926773,0.04432709808500408,0.48365696908403766,0.3202235092416905,0.20189431523368553,0.0,0.5845108251732614,0.21359485959305322,0.732322284394041,0.0,0.07986487353653272,0.1878128420694264,0.0990229080755649,0.022480310613063378,0.5225947764966141,0.35590200481475764,0.11889449837047092,0.1258170098310838,0.3764413627032715,0.3788471290951734,0.13030789588802563,0.04313932871399313,0.3836123377366055,0.44294043766137614,0.20721531010040314,0.04313454194673879,0.33899675452559563,0.41065339342726204,0.19118237981071493,0.3943646608822684,0.40193570229259334,0.012517257014423333
4,2015-05-26,0.2105286726840802,0.0,0.06027544081792352,0.7291958864979959,0.19380574505340997,0.01724109461689515,0.453542267328465,0.3354108930012297,0.2100900896869182,0.0579044586732399,0.4050822768899091,0.326923174749933,0.14440422099017156,0.0,0.15080029434118816,0.7047954846686403,0.11642331252759862,0.017330682412162145,0.4632489815341462,0.40299702352609335,0.18552112142799243,0.12030864782375017,0.3291197921107296,0.3650504386375275,0.15258098630744943,0.016525930124043024,0.35969294007060154,0.47120014349790673,0.20646497830379654,0.018619685496860747,0.3365888154362194,0.43832652076312306,0.18532688898092334,0.3873061892727846,0.412695652693704,0.014671269052587942
5,2016-05-4,0.0022967946133764326,0.0,0.14722478667374014,0.8504784187128833,0.08936871776516414,0.0,0.5571529606082778,0.3534783216265577,0.052959844185956985,0.0,0.7234382862176282,0.22360186959641495,0.06686965134050789,0.05000776992426302,0.7641347342432218,0.11898784449200732,0.038147222418074556,0.0018845363214302676,0.5870882091733067,0.3728800320871881,0.12237557388097818,0.0,0.5670165028346937,0.3106079232843275,0.06508424903322585,0.011860302230591618,0.4395505249430279,0.48350492379315496,0.09454218683660821,0.015301795455513634,0.45050625130723054,0.4396497664006474,0.04651967499757886,0.591140543345216,0.3286024777647576,0.0337373038924475
6,2016-06-22,0.0022967946133764326,0.0,0.1685110888061909,0.8291921165804326,0.04073004600121182,0.0,0.5675782762348665,0.39169167776392116,0.020052544081381695,0.0,0.7586653770654679,0.22128207885315052,0.10845864526758867,0.0,0.6797773261631067,0.2117640285693047,0.031199962807817505,0.0018845363214302676,0.6089471603149975,0.3579683405557549,0.07679908935130923,0.0,0.5997421413551146,0.32345876929357575,0.07229660630819988,0.009575714329183109,0.43017301107962325,0.48795466828299405,0.07599067656452249,0.008685272788847134,0.4607406217207544,0.45458342892587594,0.042688999250732065,0.6036161779823487,0.3536948227669193,0.0
7,2016-07-04,0.0,0.0,0.1330462289839132,0.8669537710160866,0.010383701294180595,0.0,0.557427832857612,0.43218846584820675,0.10894604317784318,0.0,0.6362784530194321,0.25477550380272496,0.0,0.0,0.7342776306309521,0.265722369369048,0.003657929801144627,0.0,0.6163931586067835,0.37994891159207195,0.0,0.0,0.5740329306930931,0.4259670693069064,0.007014352109392897,0.0,0.45378271574415585,0.5392029321464522,0.0,0.0,0.49885056928977967,0.5011494307102204,0.0048525178879037815,0.575182445795534,0.41996503631656196,0.0
8,2016-12-12,0.0,0.0,0.1330462289839132,0.8669537710160866,0.05742801500388656,0.0175722310890985,0.4822656355407519,0.44273411836626275,0.008083020553142719,0.0,0.6338741107454617,0.3580428687013958,0.10845864526758867,0.01982331433597643,0.6258189853633636,0.24589905503307152,0.038493444324134346,0.008936825646233607,0.579154290619745,0.37341543940988664,0.016820002249422063,0.006668219180772329,0.5852332012471921,0.3912785773226131,0.03491291330117781,0.008572463757408654,0.4069216814770637,0.5495929414643502,0.042990296971534996,0.0069595736015374545,0.46544457395730054,0.4846055554696269,0.056118039174007484,0.5481895388352565,0.395692421990736,0.0
9,2017-05-03,0.03527492696415289,0.0,0.20971909967305097,0.7550059733627961,0.01520442333293513,0.04898705052451771,0.4998004589080923,0.43600806723445446,0.02916746013362278,0.0579044586732399,0.6419571312986044,0.2709709498945331,0.0,0.01982331433597643,0.7342776306309521,0.24589905503307152,0.049836572085090715,0.011519631028247407,0.5862570772228015,0.35238671966386026,0.009006155803399547,0.0,0.5919014204279645,0.3990924237686356,0.041798736193740985,0.017413995701019917,0.409238800467246,0.5315484676379935,0.061805882521020546,0.006868361308299548,0.45082100695559973,0.48050474921508,0.02404660127856957,0.6000110553294923,0.37594234339193805,0.0
10,2017-06-07,0.02128630213245074,0.0,0.1330462289839132,0.8456674688836358,0.08584522937144821,0.009982843655471182,0.4764505569965994,0.42772136997648097,0.013893688453913235,0.0,0.7096131538151177,0.2764931577309692,0.10845864526758867,0.01982331433597643,0.6258189853633636,0.24589905503307152,0.038963602278046905,0.008308846399038302,0.6019047168702802,0.350822834452635,0.009006155803399547,0.0,0.5895318689884036,0.40146197520819643,0.036801736831177455,0.009292645291108244,0.4243085955070561,0.5295970223706586,0.06143214311649172,0.00633386339628447,0.4462147151181278,0.4860192783690958,0.028681082326156293,0.5752415904083213,0.3960773272655221,0.0
11,2017-06-23,0.0,0.0,0.20971909967305097,0.7902809003269489,0.04637754851188673,0.0038438564334585985,0.48920414566835907,0.46057444938629505,0.0,0.0,0.6900166634112873,0.30998333658871274,0.6133344399020337,0.01982331433597643,0.12094319072891849,0.24589905503307152,0.03785600245459025,0.01066341039806991,0.5796190921240154,0.37186149502332416,0.009006155803399547,0.0,0.5895318689884036,0.40146197520819643,0.025616306378864657,0.005319872458578921,0.42114606917668457,0.5479177519858721,0.04130151160385076,0.003456190314575732,0.4575220966266946,0.49772020145487883,0.012764291493552833,0.5940493214190524,0.3931863870873945,0.0
