,Waves,"('Full time university student', ""Don't know"")","('Full time university student', 'Leave the EU')","('Full time university student', 'Stay/remain in the EU')","('Not in paid work for any other reason', ""Don't know"")","('Not in paid work for any other reason', 'I would/will not vote')","('Not in paid work for any other reason', 'Leave the EU')","('Not in paid work for any other reason', 'Stay/remain in the EU')","('Other', ""Don't know"")","('Other', 'I would/will not vote')","('Other', 'Leave the EU')","('Other', 'Stay/remain in the EU')","('Other full time student', ""Don't know"")","('Other full time student', 'Stay/remain in the EU')","('Retired', ""Don't know"")","('Retired', 'I would/will not vote')","('Retired', 'Leave the EU')","('Retired', 'Stay/remain in the EU')","('Unemployed and looking for work', ""Don't know"")","('Unemployed and looking for work', 'I would/will not vote')","('Unemployed and looking for work', 'Leave the EU')","('Unemployed and looking for work', 'Stay/remain in the EU')","('Working full time (30 or more hours per week)', ""Don't know"")","('Working full time (30 or more hours per week)', 'I would/will not vote')","('Working full time (30 or more hours per week)', 'Leave the EU')","('Working full time (30 or more hours per week)', 'Stay/remain in the EU')","('Working part time (8-29 hours a week)', ""Don't know"")","('Working part time (8-29 hours a week)', 'I would/will not vote')","('Working part time (8-29 hours a week)', 'Leave the EU')","('Working part time (8-29 hours a week)', 'Stay/remain in the EU')","('Working part time (less than 8 hours a week)', ""Don't know"")","('Working part time (less than 8 hours a week)', 'Leave the EU')","('Working part time (less than 8 hours a week)', 'Stay/remain in the EU')","('Full time university student', 'I would/will not vote')","('Working part time (less than 8 hours a week)', 'I would/will not vote')","('Other full time student', 'Leave the EU')"
0,2014-03-09,0.15425450215876257,0.22168478172342612,0.6240607161178112,0.18597912811005704,0.011138534533893558,0.4981604910899589,0.30472184626609095,0.17277465726300553,0.017829251261124578,0.391479738013088,0.41791635346278216,0.06981260180463891,0.9301873981953611,0.11179705900182571,0.018469584839229454,0.5321296588828703,0.33760369727607464,0.17389220646857373,0.05603823662606412,0.370918776922157,0.39915077998320503,0.1638809458806167,0.030626044844601442,0.41258789525747624,0.3929051140173065,0.19216048285914586,0.008805611309778917,0.4256628049305919,0.37337110090048253,0.09161471017286843,0.4375280236180017,0.47085726620912954,0.08020166583915213,0.0018704035748376986,0.8279731863595108
1,2014-06-25,0.2192748775994664,0.15758558783462182,0.5429378687267595,0.20734891957494697,0.029164797599722958,0.4887170907487681,0.2747691920765626,0.06541410322239447,0.0,0.4762084374914314,0.4583774592861745,0.6116294737006214,0.3883705262993787,0.12445433290606898,0.02646921377782654,0.5015937306472992,0.34748272266880553,0.11070622680733672,0.0,0.43972134047399825,0.449572432718665,0.15597501848461506,0.04279914475410537,0.37953220310357433,0.42169363365770607,0.22351025410753506,0.005712620164722118,0.39431482219758623,0.37646230353015603,0.10321111210916428,0.41119095569246006,0.48559793219837544,0.0,0.0,0.0
2,2014-10-17,0.2215182749686191,0.1544235796893078,0.624058145342073,0.2053877490124763,0.04454886524398064,0.4735186983350724,0.2765446874084713,0.05694443196405306,0.0,0.5066771655456965,0.43637840249025067,0.6116294737006214,0.3883705262993787,0.10501556676861049,0.017386021384240724,0.5292328204644509,0.3483655913826978,0.1777430576541944,0.0,0.38594846321507204,0.4363084791307335,0.15026159017210147,0.03213951897981622,0.40207427730622575,0.4155246135418574,0.14520170791434203,0.02506972707302552,0.43879075761695,0.3909378073956819,0.11438410440420932,0.37097152984269516,0.5127739621782575,0.0,0.0,0.0
3,2015-03-30,0.26897950439249435,0.14064310436884958,0.5903773912386561,0.17250646443741638,0.07245023849658418,0.45977991602862384,0.29526338103737626,0.14126564739501382,0.0,0.4814215458958313,0.3773128067091551,0.6116294737006214,0.3883705262993787,0.10438297036373757,0.022212254515327143,0.5116415286548158,0.36176324646611974,0.1766374885355947,0.0,0.39160099967853024,0.43176151178587496,0.128482808785885,0.0420333446158222,0.37949428294837667,0.44998956364991705,0.20182656545283567,0.046434386371496245,0.3769374881441818,0.3748015600314856,0.04394585203153328,0.44592642607819954,0.510127721890267,0.0,0.0,0.0
4,2015-05-26,0.27148775759298993,0.05992574369065366,0.6685864987163563,0.22083432756973853,0.04289235025699479,0.4230766142544395,0.3131967079188279,0.21893808671410048,0.06414753731845138,0.3178961389093115,0.39901823705813694,0.026687188903237534,0.9733128110967626,0.1190872918926121,0.015922799059478184,0.45592190748579414,0.4090680015621158,0.23558710945220873,0.010430907126208465,0.3124601477446571,0.44152183567692566,0.15131397692890877,0.018838719919408328,0.3570568853449262,0.47279041780675796,0.18516049785445374,0.011894438655960037,0.374914160857586,0.4280309026319997,0.013575313771962323,0.46632269018096295,0.5201019960470744,0.0,0.0,0.0
5,2016-05-4,0.00567026134580959,0.14419820766219454,0.7464047469577239,0.11047184083015987,0.0005055838228291479,0.5869910956774689,0.3020314796695423,0.06973147453313215,0.038403242079091814,0.4634265501259757,0.4284387332618005,0.0,0.17202681364048936,0.03876882293215704,0.001783402135915417,0.5804400707403092,0.3790077041916184,0.00599494427611813,0.0,0.5402426904237272,0.4537623653001547,0.06471387589928254,0.0056119075000720395,0.43531239191709514,0.4943618246835512,0.09175688762441085,0.009420877754023118,0.48906562048752866,0.4097566141340368,0.03478983051355634,0.46792668593814585,0.45506043518222494,0.103726784034272,0.04222304836607252,0.0
6,2016-06-22,0.0031620081453139874,0.1735031617640668,0.823334830090619,0.05790891993678727,0.0,0.5963548716020547,0.3457362084611583,0.023791540315522865,0.03628292652466299,0.5116511483772337,0.42827438478258056,0.0,0.17202681364048936,0.030749026862783045,0.0018550286896936781,0.6029355188024749,0.36446042564504894,0.016071120448589892,0.0,0.5505693198968035,0.43335955965460665,0.06795376953556957,0.009708506853173942,0.4226897751617723,0.49964794844948507,0.08200671486301302,0.0,0.5098881122348143,0.4081051729021722,0.08357801744561667,0.46140884375374697,0.4550131388006361,0.0,0.0,0.8279731863595108
7,2016-07-04,0.0,0.14419820766219454,0.8558017923378053,0.025929712872172987,0.0,0.5693358088729054,0.40473447825492215,0.0,0.0,0.5102474810561175,0.4897525189438828,0.0,0.17202681364048936,0.004113966543510578,0.0,0.606745228735908,0.38914080472058166,0.0,0.0,0.5665030802685417,0.4334969197314582,0.006705035332954403,0.0,0.4446610599892215,0.5486339046778257,0.0,0.0,0.5417933743061744,0.45820662569382525,0.0,0.4759652942045035,0.524034705795496,0.0,0.0,0.8279731863595108
8,2016-12-12,0.0,0.14419820766219454,0.8558017923378053,0.053487598583260264,0.015496915491492468,0.5144727873486636,0.41654269857658405,0.057954151285757025,0.0,0.48400832022554746,0.4580375284886957,0.0,0.17202681364048936,0.039145747343308494,0.008862938158132314,0.5675753126208097,0.38441600187774955,0.0439311194266609,0.02005923838778642,0.4421202110545604,0.4938894311309923,0.03782681373543598,0.008449361688267865,0.40151834000403397,0.5522054845722634,0.021062405998546512,0.0068441188372215704,0.5095337850359597,0.4625596901282718,0.0579947964981487,0.42880099771678165,0.5064929129074904,0.0,0.006711292877579015,0.8279731863595108
9,2017-05-03,0.008174147104277045,0.24975411598403496,0.7420717369116878,0.013840271786886855,0.04867045957341149,0.5236794972586609,0.41380977138104136,0.005815225823380153,0.0463182860573268,0.5166236456474429,0.4312428424718503,0.0,0.17202681364048936,0.049466454097841145,0.011157050862725601,0.5775279193490497,0.361848575690384,0.040164142175456136,0.0,0.4621794494423468,0.49765640838219705,0.0453278510493725,0.016318086329075342,0.40515366845155476,0.5332003941699982,0.04963143586592737,0.009323128231453273,0.4923336351951054,0.44871180070751354,0.029856512844515633,0.4769756117549227,0.4864565825229823,0.0,0.006711292877579015,0.8279731863595108
10,2017-06-07,0.029304954101872237,0.14419820766219454,0.8264968382359331,0.07644879506845616,0.009918327054986152,0.5097513999997547,0.4038814778768035,0.04209815234804314,0.0,0.5215663755994685,0.43633547205248857,0.0,0.17202681364048936,0.042040494687389414,0.00786294975932961,0.5897848888124921,0.36031166674078924,0.09004785766118484,0.0,0.41229573395661806,0.49765640838219705,0.03815481564631562,0.009225202792535093,0.420263266655829,0.5323567149053211,0.03883741617739656,0.006059016819896674,0.4908470717315982,0.46425649527110807,0.01866668702627983,0.4745628056248913,0.5000592144712495,0.0,0.006711292877579015,0.8279731863595108
11,2017-06-23,0.0,0.24975411598403496,0.7502458840159648,0.04090031584065554,0.0038190145588988035,0.5203806382548084,0.43490003134563776,0.010543466881373541,0.0,0.5382368146650391,0.45121971845358766,0.5849422847973839,0.17202681364048936,0.036512075766554734,0.01034677955974828,0.5721546005910816,0.38098654408261556,0.05346465850402336,0.0,0.4446755737670686,0.5018597677289081,0.0311856509356177,0.0052812628399550015,0.41277311383218596,0.5507599723922423,0.021052549710768347,0.002638891690673346,0.5004270586026038,0.47588149999595414,0.006958207454612471,0.4864849261231876,0.49984557354462056,0.0,0.006711292877579015,0.24303090156212687
